# Canterbury tales	## 0 = Geoffrey Chaucer
ch/01/*-ch.cat	The Canterbury Tales
ch/01/01-?-ch.cat	Canterbury Tales - Fragment I
ch/01/01-1-ch.cat	General Prologoue
ch/01/01-2-ch.cat	Knight's Tale
ch/01/01-3-ch.cat	Miller's Prologue
ch/01/01-4-ch.cat	Miller's Tale
ch/01/01-5-ch.cat	Reeve's Prologue
ch/01/01-6-ch.cat	Reeve's Tale
ch/01/01-7-ch.cat	Cook's Prologue
ch/01/01-8-ch.cat	Cook's Tale
ch/01/02-*-ch.cat	Canterbury Tales - Fragment II
ch/01/02-1-ch.cat	Introduction to the Man of Law's Tale
ch/01/02-2-ch.cat	Man of Law's Tale
ch/01/02-3-ch.cat	Epilogue to the Man of Law's Tale
ch/01/03-?-ch.cat	Canterbury Tales - Fragment III
ch/01/03-1-ch.cat	Wife of Bath's Prologue
ch/01/03-2-ch.cat	Wife of Bath's Tale
ch/01/03-3-ch.cat	Friar's Prologue
ch/01/03-4-ch.cat	Friar's Tale
ch/01/03-5-ch.cat	Summoner's Prologue
ch/01/03-6-ch.cat	Summoner's Tale
ch/01/04-?-ch.cat	Canterbury Tales - Fragment IV
ch/01/04-1-ch.cat	Clerk's Prologue
ch/01/04-2-ch.cat	Clerk's Tale
ch/01/04-3-ch.cat	Merchant's Prologue
ch/01/04-4-ch.cat	Merchant's Tale
ch/01/04-5-ch.cat	Epilogue to the Merchant's Tale
ch/01/05-?-ch.cat	Canterbury Tales - Fragment V
ch/01/05-1-ch.cat	Introduction to the Squire's Tale
ch/01/05-2-ch.cat	Squire's Tale
ch/01/05-3-ch.cat	Prologue to the Franklin's Tale
ch/01/05-4-ch.cat	Franklin's Tale
ch/01/06-?-ch.cat	Canterbury Tales - Fragment VI
ch/01/06-1-ch.cat	Physician's Tale
ch/01/06-2-ch.cat	Introduction to the Pardoner's Tale
ch/01/06-3-ch.cat	Pardoner's Prologue
ch/01/06-4-ch.cat	Pardoner's Tale
ch/01/07-*-ch.cat	Canterbury Tales - Fragment VII
ch/01/07-0-ch.cat	Shipman's Tale
ch/01/07-00-ch.cat	Prologue to the Prioress' Tale 
ch/01/07-1-ch.cat	Prioress' Tale
ch/01/07-2-ch.cat	Prologue to Sir Thopas
ch/01/07-3-ch.cat	Sir Thopas
ch/01/07-4-ch.cat	Melibee
ch/01/07-5-ch.cat	Prologue to the Monk's Tale
ch/01/07-6-ch.cat	Monk's Tale
ch/01/07-7-ch.cat	Prologue to the Nun's Priest's Tale
ch/01/07-8-ch.cat	Nun's Priest's Tale
ch/01/07-9-ch.cat	Epilogue to the Nun's Priest's Tale
ch/01/08-?-ch.cat	Canterbury Tales - Fragment VIII
ch/01/08-1-ch.cat	Prologue to the Second Nun's Tale 
ch/01/08-2-ch.cat	Second Nun's Tale 
ch/01/08-3-ch.cat	Prologue to the Canon's Yeoman's Tale
ch/01/08-4-ch.cat	Canon's Yeoman's Tale
ch/01/09-?-ch.cat	Canterbury Tales - Fragment IX
ch/01/09-1-ch.cat	Prologue to the Manciple's Tale
ch/01/09-2-ch.cat	Manciple's Tale
ch/01/10-?-ch.cat	Canterbury Tales - Fragment X
ch/01/10-1-ch.cat	Prologue to the Parson's Tale
ch/01/10-2-ch.cat	Parson's Tale
#	##
ch/02/1?-ch.cat	The Minor poems
ch/02/11-ch.cat	Book of the Duchess
ch/02/12-ch.cat	House of Fame
ch/02/13-ch.cat	Anelida and Arcite
ch/02/14-ch.cat	Parliament of Fowls
#	##
ch/03/5/*-ch.cat	Boece
ch/03/1/*-ch.cat	Boece - Book I
ch/03/1/15-ch.cat	Boece - Book I: Meter 1
ch/03/1/16-ch.cat	Boece - Book I: Prose 1
ch/03/1/17-ch.cat	Boece - Book I: Meter 2
ch/03/1/18-ch.cat	Boece - Book I: Prose 2
ch/03/1/19-ch.cat	Boece - Book I: Meter 3
ch/03/1/20-ch.cat	Boece - Book I: Prose 3
ch/03/1/21-ch.cat	Boece - Book I: Meter 4
ch/03/1/22-ch.cat	Boece - Book I: Prose 4
ch/03/1/23-ch.cat	Boece - Book I: Meter 5
ch/03/1/24-ch.cat	Boece - Book I: Prose 5
ch/03/1/25-ch.cat	Boece - Book I: Meter 6
ch/03/1/26-ch.cat	Boece - Book I: Prose 6
ch/03/1/27-ch.cat	Boece - Book I: Meter 7
ch/03/2/*-ch.cat	Boece - Book II
ch/03/2/28-ch.cat	Boece - Book II: Prose 1
ch/03/2/29-ch.cat	Boece - Book II: Meter 1
ch/03/2/30-ch.cat	Boece - Book II: Prose 2
ch/03/2/31-ch.cat	Boece - Book II: Meter 2
ch/03/2/32-ch.cat	Boece - Book II: Prose 3
ch/03/2/33-ch.cat	Boece - Book II: Meter 3
ch/03/2/34-ch.cat	Boece - Book II: Prose 4
ch/03/2/35-ch.cat	Boece - Book II: Meter 4
ch/03/2/36-ch.cat	Boece - Book II: Prose 5
ch/03/2/37-ch.cat	Boece - Book II: Meter 5
ch/03/2/38-ch.cat	Boece - Book II: Prose 6
ch/03/2/39-ch.cat	Boece - Book II: Meter 6
ch/03/2/40-ch.cat	Boece - Book II: Prose 7
ch/03/2/41-ch.cat	Boece - Book II: Meter 7
ch/03/2/42-ch.cat	Boece - Book II: Prose 8
ch/03/2/43-ch.cat	Boece - Book II: Meter 8
ch/03/3/*-ch.cat	Boece - Book III
ch/03/3/44-ch.cat	Boece - Book III: Prose 1
ch/03/3/45-ch.cat	Boece - Book III: Meter 1
ch/03/3/46-ch.cat	Boece - Book III: Prose 2
ch/03/3/47-ch.cat	Boece - Book III: Meter 2
ch/03/3/48-ch.cat	Boece - Book III: Prose 3
ch/03/3/49-ch.cat	Boece - Book III: Meter 3
ch/03/3/50-ch.cat	Boece - Book III: Prose 4
ch/03/3/51-ch.cat	Boece - Book III: Meter 4
ch/03/3/52-ch.cat	Boece - Book III: Prose 5
ch/03/3/53-ch.cat	Boece - Book III: Meter 5
ch/03/3/54-ch.cat	Boece - Book III: Prose 6
ch/03/3/55-ch.cat	Boece - Book III: Meter 6
ch/03/3/56-ch.cat	Boece - Book III: Prose 7
ch/03/3/57-ch.cat	Boece - Book III: Meter 7
ch/03/3/58-ch.cat	Boece - Book III: Prose 8
ch/03/3/59-ch.cat	Boece - Book III: Meter 8
ch/03/3/60-ch.cat	Boece - Book III: Prose 9
ch/03/3/61-ch.cat	Boece - Book III: Meter 9
ch/03/3/62-ch.cat	Boece - Book III: Prose 10
ch/03/3/63-ch.cat	Boece - Book III: Meter 10
ch/03/3/64-ch.cat	Boece - Book III: Prose 11
ch/03/3/65-ch.cat	Boece - Book III: Meter 11
ch/03/3/66-ch.cat	Boece - Book III: Prose 12
ch/03/3/67-ch.cat	Boece - Book III: Meter 12
ch/03/4/*-ch.cat	Boece - Book IV
ch/03/4/68-ch.cat	 Prose 1
ch/03/4/69-ch.cat	Boece - Book IV: Meter 1
ch/03/4/70-ch.cat	 Prose 2
ch/03/4/71-ch.cat	Boece - Book IV: Meter 2
ch/03/4/72-ch.cat	 Prose 3
ch/03/4/73-ch.cat	Boece - Book IV: Meter 3
ch/03/4/74-ch.cat	 Prose 4
ch/03/4/75-ch.cat	Boece - Book IV: Meter 4
ch/03/4/76-ch.cat	 Prose 5
ch/03/4/77-ch.cat	Boece - Book IV: Meter 5
ch/03/4/78-ch.cat	Boece - Book IV: Prose 6
ch/03/4/79-ch.cat	Boece - Book IV: Meter 6
ch/03/4/80-ch.cat	Boece - Book IV: Prose 7
ch/03/4/81-ch.cat	Boece - Book IV: Meter 7
ch/03/5/*-ch.cat	Boece - Book V
ch/03/5/82-ch.cat	Boece - Book V: Prose 1
ch/03/5/83-ch.cat	Boece - Book V: Meter 1
ch/03/5/84-ch.cat	Boece - Book V: Prose 2
ch/03/5/85-ch.cat	Boece - Book V: Meter 2
ch/03/5/86-ch.cat	Boece - Book V: Prose 3
ch/03/5/87-ch.cat	Boece - Book V: Meter 3
ch/03/5/88-ch.cat	Boece - Book V: Prose 4
ch/03/5/89-ch.cat	Boece - Book V: Meter 4
ch/03/5/90-ch.cat	Boece - Book V: Prose 5
ch/03/5/91-ch.cat	Boece - Book V: Meter 5
ch/03/5/92-ch.cat	Boece - Book V: Prose 6
#	##
ch/04/*-ch.cat	The Boke of Troilus
ch/04/93-ch.cat	Troilus Book 1
ch/04/94-ch.cat	Troilus Book 2
ch/04/95-ch.cat	Troilus Book 3
ch/04/96-ch.cat	Troilus Book 4
ch/04/97-ch.cat	Troilus Book 5
#	##
ch/05/*-ch.cat	The Legend of Good Women
ch/05/98-ch.cat	The Legend of Good Women- Prologue F
ch/05/99-ch.cat	The Legend of Good Women- Prologue G (Not yet ready)
#	##
ch/06/*-ch.cat	The Short Poems
ch/06/101-ch.cat	An ABC 
ch/06/102-ch.cat	The Complaint unto Pity
ch/06/103-ch.cat	The Complaint to His Lady
ch/06/104-ch.cat	The Complaint of Mars
ch/06/105-ch.cat	The Complaint of Venus
ch/06/106-ch.cat	To Rosemounde
ch/06/107-ch.cat	Womanly Noblesse
ch/06/108-ch.cat	Adam Scrivener
ch/06/109-ch.cat	The Former Age
ch/06/110-ch.cat	Fortune
ch/06/111-ch.cat	Truth
ch/06/112-ch.cat	Gentilesse
ch/06/113-ch.cat	Lak of Stedfastnesse
ch/06/114-ch.cat	Lenvoy de Chaucer a Scogan
ch/06/115-ch.cat	Lenvoy de Chuacer a Bukton
ch/06/116-ch.cat	the Complaint of Chaucer to his Purse
# Treatise on the Astrolabe	##
ch/07/0/*-ch.cat	The Treatise on the Astrolabe
ch/07/0/122-ch.cat	The Treatise on the Astrolabe - Prologue
ch/07/1/*-ch.cat	The Treatise on the Astrolabe - Part I
ch/07/1/123-ch.cat	Astrolabe - Part I, Section 1
ch/07/1/124-ch.cat	Astrolabe - Part I, Section 2
ch/07/1/125-ch.cat	Astrolabe - Part I, Section 3
ch/07/1/126-ch.cat	Astrolabe - Part I, Section 4
ch/07/1/127-ch.cat	Astrolabe - Part I, Section 5
ch/07/1/128-ch.cat	Astrolabe - Part I, Section 6
ch/07/1/129-ch.cat	Astrolabe - Part I, Section 7
ch/07/1/130-ch.cat	Astrolabe - Part I, Section 8
ch/07/1/131-ch.cat	Astrolabe - Part I,  Section 9
ch/07/1/132-ch.cat	Astrolabe - Part I, Section 10
ch/07/1/133-ch.cat	Astrolabe - Part I,  Section 11
ch/07/1/134-ch.cat	Astrolabe - Part I, Section 12
ch/07/1/135-ch.cat	Astrolabe - Part I, Section 13
ch/07/1/136-ch.cat	Astrolabe - Part I, Section 14
ch/07/1/137-ch.cat	Astrolabe - Part I, Section 15
ch/07/1/138-ch.cat	Astrolabe - Part I, Section 16
ch/07/1/139-ch.cat	Astrolabe - Part I, Section 17
ch/07/1/140-ch.cat	Astrolabe - Part I, Section 18
ch/07/1/141-ch.cat	Astrolabe - Part I, Section 19
ch/07/1/142-ch.cat	Astrolabe - Part I, Section 20
ch/07/1/143-ch.cat	Astrolabe - Part I, Section 21
ch/07/2/*-ch.cat	The Treatise on the Astrolabe - Part II
ch/07/2/144-ch.cat	Astrolabe - To fynde the degre in which the sonne is day by day, after his cours aboute.
ch/07/2/145-ch.cat	Astrolabe - To knowe the altitude of the sonne or of othre celestial bodies.
ch/07/2/146-ch.cat	Astrolabe - To knowe every tyme of the day by light of the sonne; and every tyme of the nyght by the sterres fixe; and eke to knowe by nyght or by day the degre of eny signe that ascendith on the est orisonte, which that is clepid comounly the ascendent, or ellis horoscopum.
